id;gender;age;height;education
126;M;76;1.85;Master's
127;M;55;1.93;High School
128;M;29;1.84;PhD
129;F;56;1.55;High School
130;M;19;1.75;Bachelor's
131;M;41;1.69;Master's
132;F;21;1.92;PhD
133;M;67;1.55;None
134;F;62;1.55;Elementary
135;M;21;1.8;PhD
136;F;21;1.9;Master's
137;M;52;1.56;Bachelor's
138;M;75;1.95;High School
139;M;32;1.57;Elementary
140;M;72;1.88;None
141;F;28;1.97;Elementary
142;F;37;1.94;PhD
143;M;71;1.72;PhD
144;M;37;1.46;High School
145;F;26;1.53;High School
146;F;35;1.62;PhD
147;F;67;1.55;Bachelor's
148;M;42;1.62;Elementary
149;F;40;1.5;Bachelor's
150;M;71;1.46;Master's
151;M;42;1.97;Master's
152;F;70;1.59;Master's
153;F;58;2.01;High School
154;F;50;1.83;Elementary
155;F;18;1.89;None
156;F;18;2.01;Bachelor's
157;M;23;1.67;Bachelor's
158;M;41;1.61;PhD
159;F;25;1.94;None
160;M;52;1.85;None
161;F;76;1.65;None
162;M;75;1.56;High School
163;M;70;1.91;High School
164;F;37;1.97;Elementary
165;F;22;1.94;Elementary
166;F;67;1.52;Bachelor's
167;M;62;1.53;High School
168;M;71;1.83;High School
169;M;41;1.82;None
170;M;71;1.8;High School
171;F;34;1.91;None
172;F;58;1.81;Master's
173;M;64;1.68;High School
174;M;44;1.57;PhD
175;M;25;2;None
176;M;36;1.92;Bachelor's
177;F;69;1.6;PhD
178;F;50;1.69;High School
179;F;71;1.74;Elementary
180;F;69;1.61;Bachelor's
181;M;61;1.59;PhD
182;M;70;1.66;Master's
183;M;37;1.9;High School
184;M;35;2.01;PhD
185;M;59;1.69;Elementary
186;F;64;1.62;PhD
187;M;68;1.6;High School
188;M;36;1.66;Bachelor's
189;F;44;1.72;High School
190;F;74;1.56;None
191;F;47;1.94;None
192;M;25;1.52;Bachelor's
193;M;56;1.69;High School
194;M;67;1.56;Elementary
195;M;42;1.63;None
196;F;40;1.6;Elementary
197;M;30;1.6;Bachelor's
198;F;49;1.48;Elementary
199;F;30;1.58;None
200;M;43;1.74;High School
201;F;54;1.82;PhD
202;M;53;1.73;PhD
203;M;43;1.59;Elementary
204;F;45;2;None
205;F;64;1.9;Master's
206;M;62;1.75;PhD
207;M;60;1.66;Master's
208;F;61;1.99;High School
209;M;39;1.51;Elementary
210;F;30;1.58;Master's
211;M;60;1.82;PhD
212;F;63;1.87;High School
213;M;54;1.63;PhD
214;F;44;2;High School
215;F;44;1.76;Bachelor's
216;M;29;1.94;High School
217;F;39;1.84;Master's
218;F;56;1.75;None
219;F;30;1.55;Elementary
220;M;70;1.47;None
221;M;36;1.95;Master's
222;F;33;1.57;None
223;M;46;1.92;Bachelor's
224;M;24;1.91;Elementary
225;F;26;1.61;Elementary
226;F;54;1.8;Master's
227;M;56;1.71;Bachelor's
228;F;55;1.5;Bachelor's
229;M;52;1.67;Elementary
230;M;34;1.91;Master's
231;F;24;1.7;PhD
232;M;41;1.51;Master's
233;M;66;1.56;Bachelor's
234;M;48;1.5;None
235;F;65;1.78;Bachelor's
236;F;48;1.8;PhD
237;F;56;1.72;Bachelor's
238;M;48;1.77;None
239;F;68;1.7;Master's
240;M;66;1.92;Bachelor's
241;M;69;1.75;Bachelor's
242;F;30;1.49;None
243;F;61;1.73;Bachelor's
244;F;38;1.54;PhD
245;F;55;1.82;Bachelor's
246;F;76;1.98;Bachelor's
247;F;41;1.55;High School
248;F;41;1.64;Elementary
249;F;37;1.59;None
250;F;48;1.74;PhD
251;M;19;1.75;Bachelor's
252;F;41;1.7;Bachelor's
253;F;26;1.71;None
254;M;28;1.93;Master's
255;M;31;1.99;Elementary
256;M;25;1.85;Master's
257;F;20;1.46;None
258;M;42;1.57;Elementary
259;F;27;1.57;Master's
260;F;53;2;None
261;M;20;1.99;Elementary
262;F;70;2;Bachelor's
263;F;63;1.64;Elementary
264;F;71;2.01;Elementary
265;M;23;1.64;None
266;M;24;1.79;PhD
267;M;53;1.5;Elementary
268;M;24;1.99;Elementary
269;M;45;1.74;None
270;F;49;1.76;Elementary
271;M;43;1.86;High School
272;M;64;1.88;Elementary
273;F;51;1.96;None
274;F;63;1.59;Bachelor's
275;M;52;1.63;Bachelor's
276;M;59;1.8;Elementary
277;F;25;1.68;High School
278;F;44;1.47;Elementary
279;F;65;1.92;Elementary
280;F;41;1.67;None
281;F;29;1.96;None
282;F;63;1.77;Elementary
283;F;46;1.94;PhD
284;M;31;1.96;Elementary
285;M;64;1.63;Bachelor's
286;M;55;1.51;PhD
287;M;50;1.48;PhD
288;M;19;1.83;Elementary
289;M;76;1.64;Master's
290;M;33;1.53;None
291;F;21;1.61;Bachelor's
292;M;46;1.81;Bachelor's
293;M;33;1.79;Master's
294;F;20;1.57;None
295;F;74;1.65;PhD
296;M;69;1.78;None
297;F;75;1.54;PhD
298;M;69;1.55;Master's
299;M;44;1.53;High School
300;F;24;1.6;None
301;F;59;1.67;Master's
302;M;31;1.54;Bachelor's
303;F;48;1.66;PhD
304;F;48;1.51;None
305;M;42;1.48;None
306;M;43;1.65;Bachelor's
307;M;61;1.64;High School
308;M;76;1.78;Bachelor's
309;M;28;1.61;High School
310;F;29;1.77;None
311;F;28;2;Elementary
312;F;50;1.71;PhD
313;F;48;1.8;High School
314;M;60;1.96;PhD
315;F;71;1.7;None
316;F;33;1.8;None
317;F;43;1.83;Bachelor's
318;M;65;1.82;Master's
319;M;75;1.82;Bachelor's
320;F;46;1.5;Elementary
321;F;54;1.72;Master's
322;M;74;1.48;Bachelor's
323;F;55;1.57;Master's
324;F;57;1.85;None
325;F;53;1.85;Elementary
326;M;52;1.47;Master's
327;F;21;1.88;Elementary
328;M;38;2.01;None
329;F;47;1.79;None
330;M;35;1.49;PhD
331;M;51;1.77;High School
332;M;71;1.65;Elementary
333;M;66;1.95;None
334;F;44;1.62;PhD
335;M;47;1.97;Master's
336;F;42;1.64;PhD
337;F;64;1.85;Elementary
338;F;31;1.5;Elementary
339;M;58;1.8;Bachelor's
340;M;41;1.77;Master's
341;F;53;1.89;PhD
342;F;21;1.79;Elementary
343;F;47;1.74;High School
344;M;48;1.89;High School
345;M;19;1.62;High School
346;F;74;1.63;High School
347;M;50;1.51;Elementary
348;F;53;1.57;None
349;M;40;1.58;Master's
350;F;59;1.6;None
351;F;26;1.54;Elementary
352;F;59;1.94;High School
353;F;73;1.55;High School
354;F;33;1.91;None
355;F;40;1.71;None
356;M;41;1.6;Elementary
357;M;49;1.92;PhD
358;F;45;1.82;PhD
359;F;44;2.01;None
360;M;25;1.66;Elementary
361;F;31;1.76;Elementary
362;M;25;1.66;PhD
363;M;49;1.55;PhD
364;F;72;1.88;Elementary
365;F;38;1.84;None
366;M;18;1.54;PhD
367;F;65;1.78;PhD
368;M;54;2.01;Master's
369;M;31;1.55;Bachelor's
370;F;48;1.99;Elementary
371;F;31;1.54;Master's
372;F;36;1.65;None
373;M;34;1.77;Elementary
374;F;45;1.58;High School
375;F;65;1.97;Bachelor's
376;M;52;1.68;Bachelor's
377;F;53;1.57;Master's
378;M;53;1.72;Bachelor's
379;M;64;1.64;Master's
380;M;35;1.78;PhD
381;M;60;1.52;High School
382;M;51;1.46;PhD
383;M;33;1.53;Master's
384;M;55;1.55;High School
385;M;32;1.73;Elementary
386;M;36;1.74;High School
387;M;51;1.88;Elementary
388;F;60;1.46;Master's
389;M;53;1.75;Elementary
390;M;69;1.78;None
391;F;20;1.78;Bachelor's
392;F;53;1.94;High School
393;M;23;1.47;Bachelor's
394;M;52;1.96;Master's
395;F;73;1.57;Bachelor's
396;F;41;1.63;Bachelor's
397;M;65;1.94;High School
398;M;52;2;Elementary
399;F;76;1.82;PhD
400;F;43;1.55;PhD
401;M;37;1.88;Elementary
402;M;67;1.78;Master's
403;M;74;1.69;Master's
404;M;41;1.81;PhD
405;F;39;1.89;PhD
406;M;19;1.78;Master's
407;M;72;1.9;None
408;F;57;1.95;None
409;F;36;1.89;PhD
410;F;42;1.57;None
411;F;65;1.81;Master's
412;F;64;1.89;Master's
413;F;27;1.85;Master's
414;M;64;1.94;Master's
415;M;45;1.79;High School
416;M;21;1.75;Bachelor's
417;F;66;1.57;PhD
418;M;59;1.74;Master's
419;M;58;1.73;PhD
420;M;47;1.66;Master's
421;M;28;1.48;PhD
422;M;54;1.96;None
423;M;26;1.64;Elementary
424;F;65;1.85;Elementary
425;F;33;1.55;None
426;M;21;1.92;Master's
427;F;75;1.91;High School
428;F;41;1.84;High School
429;F;45;1.61;None
430;F;48;1.91;Bachelor's
431;M;52;1.98;None
432;M;40;1.94;Bachelor's
433;M;70;1.47;Master's
434;M;33;1.82;Master's
435;F;34;1.83;Bachelor's
436;F;28;1.5;Master's
437;F;26;1.84;None
438;F;20;1.57;Elementary
439;M;57;1.87;PhD
440;M;68;1.87;Master's
441;F;26;1.47;Master's
442;M;45;1.87;High School
443;F;34;1.7;PhD
444;F;39;1.55;High School
445;F;40;1.63;None
446;F;22;1.57;None
447;F;75;1.78;Bachelor's
448;F;64;1.58;Bachelor's
449;F;55;1.76;High School
450;M;51;1.93;High School
451;M;54;1.47;Master's
452;M;41;1.72;PhD
453;F;36;1.82;Elementary
454;M;60;1.46;Master's
455;F;65;1.99;Elementary
456;F;62;1.91;High School
457;M;67;1.69;Master's
458;M;54;2;Bachelor's
459;M;48;1.82;Master's
460;F;55;1.64;Bachelor's
461;F;65;1.81;High School
462;F;30;1.98;PhD
463;M;74;1.58;High School
464;M;50;1.89;Master's
465;F;42;1.62;PhD
466;M;35;1.58;None
467;F;53;1.61;High School
468;M;61;1.77;Elementary
469;F;18;1.83;High School
470;F;23;1.72;Master's
471;M;43;1.78;Elementary
472;F;20;1.54;Elementary
473;M;64;1.67;High School
474;F;36;1.81;Bachelor's
475;M;19;1.62;Master's
476;M;46;1.66;Bachelor's
477;F;56;2.01;High School
478;M;23;1.57;High School
479;M;52;1.75;PhD
480;F;68;1.88;High School
481;M;29;1.54;Elementary
482;M;28;1.94;Master's
483;M;76;1.78;Master's
484;F;18;1.83;None
485;M;72;1.56;Master's
486;F;50;1.86;Master's
487;F;33;1.87;Bachelor's
488;F;51;1.71;PhD
489;M;52;1.82;Elementary
490;F;45;1.46;None
491;M;29;1.47;Bachelor's
492;F;59;2;PhD
493;M;31;1.72;Bachelor's
494;M;46;1.72;Bachelor's
495;F;66;1.82;Elementary
496;F;44;1.56;Elementary
497;M;23;1.84;High School
498;F;71;1.89;High School
499;M;40;1.54;Master's
500;F;62;1.7;High School
501;M;24;1.74;Bachelor's
502;F;57;1.74;Bachelor's
503;M;50;1.73;Elementary
504;F;44;1.57;Elementary
505;F;43;1.67;Elementary
506;M;24;1.79;Bachelor's
507;F;24;1.72;None
508;F;38;1.81;PhD
509;M;51;1.56;None
510;M;62;1.68;Master's
511;M;76;1.51;None
512;F;74;1.78;PhD
513;M;38;1.64;Elementary
514;M;47;1.94;Elementary
515;M;24;1.61;PhD
516;M;36;1.72;Elementary
517;F;38;1.63;None
518;M;60;1.81;Bachelor's
519;M;72;1.53;None
520;F;76;1.57;None
521;F;49;1.53;Bachelor's
522;F;47;1.96;Elementary
523;M;63;1.91;Master's
524;F;43;1.73;PhD
525;F;26;1.9;High School
526;F;44;1.54;PhD
527;M;46;1.66;High School
528;M;33;1.71;High School
529;M;56;1.62;PhD
530;F;26;1.68;Bachelor's
531;F;33;1.7;PhD
532;F;70;1.97;PhD
533;F;29;1.88;Elementary
534;M;57;1.63;Elementary
535;F;50;1.48;Bachelor's
536;M;23;2.01;Master's
537;M;44;1.61;Bachelor's
538;F;33;2;None
539;F;36;1.74;Elementary
540;M;58;1.59;None
541;F;31;1.49;Master's
542;F;60;1.78;High School
543;M;74;1.74;PhD
544;M;45;1.94;Master's
545;M;44;1.79;None
546;F;19;1.46;None
547;M;34;1.78;PhD
548;F;69;1.67;High School
549;M;32;1.66;None
550;M;61;1.76;Master's
551;M;38;1.95;Master's
552;M;62;1.64;Elementary
553;M;34;1.59;High School
554;M;27;1.76;High School
555;F;21;1.69;Elementary
556;M;46;1.83;Master's
557;M;55;1.9;Bachelor's
558;M;38;1.47;High School
559;F;61;1.88;None
560;F;23;1.58;None
561;F;44;1.68;PhD
562;M;63;1.57;None
563;F;71;1.84;Master's
564;F;56;1.65;Bachelor's
565;M;31;1.82;High School
566;M;61;1.54;Bachelor's
567;F;37;1.76;PhD
568;M;60;1.69;Bachelor's
569;M;45;1.52;High School
570;M;67;1.56;None
571;M;70;1.92;PhD
572;M;46;1.58;None
573;M;57;1.93;Elementary
574;F;74;1.9;Bachelor's
575;F;53;1.71;Bachelor's
576;F;68;1.86;Master's
577;M;42;1.81;Master's
578;M;39;1.73;PhD
579;M;39;1.84;PhD
580;F;45;1.85;None
581;M;43;1.67;PhD
582;F;65;1.76;Elementary
583;M;73;1.46;High School
584;F;52;1.55;None
585;M;70;1.95;Elementary
586;F;71;1.84;Elementary
587;M;43;1.81;High School
588;F;73;1.76;Bachelor's
589;M;43;1.73;Elementary
590;M;49;2;PhD
591;M;54;1.82;Master's
592;M;61;1.92;None
593;M;32;1.46;PhD
594;M;68;1.91;Master's
595;F;47;1.91;None
596;M;47;1.72;Master's
597;F;33;1.85;None
598;M;36;1.84;Master's
599;F;28;1.78;Master's
600;F;48;1.81;Elementary
601;M;71;1.86;Bachelor's
602;F;30;1.62;Bachelor's
603;M;51;2.01;Bachelor's
604;M;44;1.76;Elementary
605;M;33;1.69;None
606;M;23;1.65;Master's
607;F;67;1.64;None
608;F;54;1.8;High School
609;F;20;1.54;Master's
610;F;25;1.89;Master's
611;F;72;1.63;PhD
612;F;61;1.8;None
613;M;67;1.69;Master's
614;M;71;1.81;Master's
615;M;39;2;Elementary
616;M;48;1.48;PhD
617;F;38;1.69;PhD
618;M;70;1.9;Elementary
619;F;56;1.96;Bachelor's
620;M;35;1.52;Bachelor's
621;M;40;1.52;Master's
622;M;33;1.69;Master's
623;M;19;1.7;PhD
624;M;29;1.6;Bachelor's
625;F;75;1.97;Master's
626;M;35;1.96;Master's
627;F;48;1.7;None
628;M;39;1.72;None
629;M;45;1.78;Master's
630;F;35;1.8;None
631;M;47;1.78;PhD
632;F;40;1.82;PhD
633;M;56;2;Bachelor's
634;F;36;1.95;PhD
635;F;18;1.79;Elementary
636;F;51;1.52;Elementary
637;F;29;1.81;Master's
638;M;33;1.77;Bachelor's
639;F;71;1.63;PhD
640;M;61;1.89;None
641;M;26;1.97;None
642;M;51;1.88;Master's
643;M;58;1.95;PhD
644;M;30;1.57;Bachelor's
645;F;29;1.82;Bachelor's
646;M;49;1.5;None
647;M;38;1.73;Master's
648;F;26;1.48;High School
649;M;68;1.78;Elementary
650;F;44;1.67;High School
651;F;21;1.84;None
652;M;63;1.58;PhD
653;M;70;1.83;Elementary
654;F;48;1.88;None
655;F;44;2;None
656;M;64;1.62;None
657;F;31;1.48;Master's
658;M;59;1.51;PhD
659;M;71;1.94;Master's
660;M;60;1.56;High School
661;M;60;1.79;Bachelor's
662;M;51;1.85;Elementary
663;F;49;1.56;Bachelor's
664;M;25;1.66;High School
665;M;25;1.61;PhD
666;F;33;1.69;High School
667;M;66;1.88;High School
668;M;33;1.6;None
669;F;53;1.95;Elementary
670;M;55;1.48;Bachelor's
671;F;38;1.79;None
672;M;70;1.72;Elementary
673;F;53;1.85;Master's
674;F;56;1.64;Elementary
675;M;65;1.87;Elementary
676;F;19;1.57;High School
677;F;26;1.81;Bachelor's
678;F;28;1.7;Elementary
679;M;36;1.78;Master's
680;F;48;1.5;None
681;F;39;1.75;Master's
682;F;25;1.89;None
683;F;31;1.91;Bachelor's
684;F;41;1.6;Elementary
685;M;29;1.78;PhD
686;M;24;1.84;Bachelor's
687;M;57;1.56;Master's
688;F;65;1.78;High School
689;F;34;1.6;Bachelor's
690;F;59;1.58;PhD
691;F;36;1.64;Master's
692;F;75;1.65;Master's
693;F;71;1.81;PhD
694;F;39;1.83;Master's
695;M;49;1.68;Bachelor's
696;F;68;1.78;Bachelor's
697;M;76;1.48;None
698;F;61;1.92;Bachelor's
699;M;19;1.54;PhD
700;F;74;1.6;None
701;M;47;1.54;Elementary
702;M;68;1.87;Master's
703;F;47;1.76;Bachelor's
704;M;37;1.66;Elementary
705;F;75;1.93;Elementary
706;M;19;1.62;Master's
707;F;62;1.6;None
708;F;35;1.64;High School
709;M;53;1.99;Master's
710;F;49;1.54;None
711;F;19;1.87;Master's
712;F;50;1.64;None
713;F;18;1.92;None
714;M;21;1.64;Master's
715;M;64;1.85;Master's
716;M;59;1.52;PhD
717;M;39;1.99;Bachelor's
718;M;74;1.65;Elementary
719;F;75;1.65;PhD
720;M;23;1.97;Master's
721;F;43;1.47;Master's
722;M;30;1.6;Bachelor's
723;F;41;1.83;High School
724;F;55;1.55;None
725;F;58;1.84;Elementary
726;F;72;1.75;Master's
727;M;50;1.75;None
728;F;54;1.85;PhD
729;F;56;1.46;Bachelor's
730;F;62;1.9;Bachelor's
731;M;51;1.49;Elementary
732;M;64;1.47;PhD
733;M;22;1.62;Elementary
734;F;46;1.94;Bachelor's
735;F;55;1.84;None
736;F;41;1.94;Bachelor's
737;F;70;1.59;High School
738;F;64;1.55;Elementary
739;F;65;1.56;Elementary
740;M;66;1.56;None
741;M;26;1.72;Master's
742;F;67;1.88;None
743;F;54;1.64;Bachelor's
744;F;61;1.92;PhD
745;F;64;1.52;PhD
746;F;53;1.98;Elementary
747;M;54;1.67;None
748;F;58;1.55;Bachelor's
749;F;53;1.64;None
750;F;27;1.55;Bachelor's
751;M;53;1.64;Master's
752;F;50;1.61;None
753;F;56;1.89;Master's
754;M;28;1.98;Master's
755;M;22;1.86;None
756;F;38;1.93;Bachelor's
757;F;45;1.58;Elementary
758;F;53;1.53;Elementary
759;F;62;1.51;High School
760;F;39;1.57;PhD
761;F;50;1.49;PhD
762;F;43;1.61;Elementary
763;M;19;1.77;Bachelor's
764;F;28;1.91;Master's
765;M;68;1.84;Elementary
766;M;21;1.71;None
767;F;64;1.49;None
768;M;71;2.01;Bachelor's
769;F;45;1.47;PhD
770;M;58;1.78;Elementary
771;M;25;1.89;None
772;M;25;1.97;High School
773;M;40;1.52;PhD
774;M;59;1.91;None
775;M;42;2;Master's
776;F;33;1.59;Bachelor's
777;F;53;1.98;Master's
778;F;26;1.98;Bachelor's
779;F;31;1.55;High School
780;F;26;1.51;PhD
781;F;23;1.65;Bachelor's
782;M;18;1.95;PhD
783;M;26;1.69;Master's
784;F;52;2;High School
785;F;29;1.74;None
786;F;64;1.55;High School
787;M;49;1.73;Elementary
788;F;31;1.77;Elementary
789;F;53;1.92;None
790;F;74;1.49;Elementary
791;M;21;1.91;PhD
792;M;46;1.47;Elementary
793;F;51;1.52;Elementary
794;F;51;1.9;Bachelor's
795;M;59;1.64;PhD
796;F;37;2;PhD
797;M;73;1.46;None
798;M;18;1.56;Elementary
799;F;26;1.59;Master's
800;M;57;1.94;Bachelor's
801;M;56;1.86;Master's
802;F;40;1.64;High School
803;M;64;1.5;None
804;M;72;2;PhD
805;M;48;1.87;PhD
806;M;52;1.74;Bachelor's
807;F;50;1.59;None
808;F;46;1.91;Bachelor's
809;M;33;1.66;PhD
810;M;67;1.54;Master's
811;F;29;1.5;Elementary
812;F;60;1.97;Bachelor's
813;M;35;1.47;None
814;M;37;1.5;Bachelor's
815;F;39;1.74;Master's
816;M;50;1.85;High School
817;F;49;1.48;PhD
818;M;33;1.56;PhD
819;M;66;1.6;High School
820;F;49;1.99;Bachelor's
821;M;56;1.8;Elementary
822;M;42;2;Master's
823;M;35;1.66;Elementary
824;F;58;1.87;Elementary
825;M;56;1.82;None
826;F;20;1.92;Master's
827;M;68;1.62;High School
828;F;36;1.99;None
829;F;30;1.94;High School
830;F;57;1.59;Bachelor's
831;M;33;1.82;Master's
832;F;57;1.59;PhD
833;M;76;1.67;PhD
834;M;43;1.57;None
835;M;75;1.48;Master's
836;F;46;1.92;Master's
837;M;34;1.6;Elementary
838;M;72;1.57;Elementary
839;F;68;1.83;Master's
840;M;28;1.69;Bachelor's
841;F;29;1.78;Elementary
842;F;39;1.9;Bachelor's
843;M;43;1.46;Bachelor's
844;M;72;1.96;None
845;M;73;1.96;Bachelor's
846;F;37;1.94;High School
847;F;74;1.66;Bachelor's
848;F;66;1.7;None
849;F;25;1.81;None
850;M;66;1.87;Bachelor's
851;M;23;1.96;None
852;M;40;2.01;High School
853;F;46;1.88;Elementary
854;F;68;1.73;Master's
855;M;64;1.78;Bachelor's
856;F;42;1.9;None
857;F;24;1.86;High School
858;M;55;1.74;None
859;M;40;1.62;PhD
860;F;24;1.74;Master's
861;M;23;1.87;PhD
862;F;60;1.62;PhD
863;M;51;1.9;High School
864;F;36;1.94;High School
865;F;24;1.69;None
866;M;46;1.46;Elementary
867;F;76;1.75;PhD
868;F;39;1.58;PhD
869;F;29;1.47;Bachelor's
870;F;69;1.55;Bachelor's
871;M;58;1.82;None
872;F;67;1.79;None
873;F;26;1.76;Bachelor's
874;F;53;1.56;None
875;F;56;1.84;PhD
876;M;73;1.77;None
877;M;34;1.53;Master's
878;M;33;1.94;High School
879;M;35;1.55;High School
880;F;76;1.98;None
881;M;20;1.7;High School
882;F;31;1.9;PhD
883;M;36;1.5;None
884;F;20;1.92;High School
885;M;38;1.91;Bachelor's
886;F;32;1.47;PhD
887;F;66;2.01;Bachelor's
888;F;55;1.78;PhD
889;F;41;1.72;PhD
890;F;56;1.91;None
891;F;21;1.51;Bachelor's
892;F;48;1.78;None
893;M;45;1.82;High School
894;F;65;1.96;High School
895;M;48;1.63;High School
896;M;74;1.82;Elementary
897;M;42;1.98;PhD
898;F;67;1.9;Master's
899;F;55;1.84;High School
900;M;76;1.46;Master's
901;F;33;1.49;High School
902;M;27;1.62;Elementary
903;F;66;1.53;Bachelor's
904;F;76;1.92;None
905;F;25;1.47;None
906;F;53;1.69;Master's
907;F;75;1.76;None
908;F;58;1.5;Master's
909;F;38;1.56;Bachelor's
910;M;33;1.81;None
911;F;65;1.56;Master's
912;M;23;1.56;Bachelor's
913;F;21;1.51;Elementary
914;F;28;1.76;Elementary
915;F;67;1.75;High School
916;F;64;1.55;None
917;M;71;1.99;Elementary
918;F;44;1.66;High School
919;M;20;2;None
920;M;18;1.95;Bachelor's
921;M;76;2;Bachelor's
922;M;68;1.55;Master's
923;M;35;1.61;PhD
924;M;36;1.93;None
925;F;21;1.74;None
926;F;19;1.95;None
927;M;56;1.62;Master's
928;F;37;1.61;Master's
929;M;67;1.99;None
930;M;26;1.5;High School
931;M;19;1.71;Bachelor's
932;M;36;1.62;PhD
933;F;42;1.83;High School
934;M;57;2;Master's
935;M;30;1.97;High School
936;M;51;1.55;PhD
937;M;49;1.5;Elementary
938;M;58;1.93;PhD
939;M;47;1.48;PhD
940;F;76;1.92;Bachelor's
941;F;42;1.57;Elementary
942;F;72;1.72;PhD
943;M;39;1.48;Master's
944;M;57;1.83;High School
945;M;60;1.64;PhD
946;F;58;1.95;Bachelor's
947;F;60;1.65;Elementary
948;F;55;1.8;Bachelor's
949;M;28;1.78;Elementary
950;M;30;1.69;Elementary
951;F;37;1.59;High School
952;F;28;1.94;High School
953;M;25;1.58;Elementary
954;M;71;1.5;PhD
955;M;73;1.7;Bachelor's
956;F;67;1.59;Bachelor's
957;M;39;1.7;High School
958;F;66;1.71;Elementary
959;M;42;1.53;PhD
960;F;62;1.97;PhD
961;M;63;2;Bachelor's
962;F;53;1.98;High School
963;M;66;1.63;Elementary
964;M;26;1.67;Master's
965;F;57;1.6;PhD
966;F;29;1.47;Elementary
967;F;72;1.46;Elementary
968;F;33;1.87;PhD
969;M;59;1.56;High School
970;M;64;1.75;Elementary
971;F;42;1.77;Elementary
972;M;31;1.73;Bachelor's
973;F;51;1.87;High School
974;M;74;1.87;None
975;M;52;1.62;Bachelor's
976;F;63;1.85;High School
977;M;35;1.96;Bachelor's
978;M;44;1.65;Elementary
979;M;64;1.85;PhD
980;M;46;1.49;PhD
981;M;49;1.6;None
982;F;27;1.82;Elementary
983;M;31;1.75;Elementary
984;F;51;1.71;Elementary
985;M;73;1.92;PhD
986;M;36;1.71;None
987;F;19;1.54;High School
988;M;32;1.62;High School
989;F;50;1.73;High School
990;F;23;1.47;Elementary
